,cut1,cut2,cut3,cut4,cut5,w1,w2,w3,w4,w5
Car;So2,3.9686227,3.9660656,4.2386603,4.4573054,4.7840934,-0.4314235,-0.16304189,0.39984807,-0.24875364,-0.29178506
Car;Sox,3.7844636,3.9029546,4.2042184,4.387502,4.861183,0.6021647,0.065788805,0.2185792,0.21130353,0.13615644
Car;Zn,2.7562335,3.1702833,3.5804741,3.8846247,4.651984,-0.13519272,-1.1718243,-0.99720323,0.18402642,0.114892825
Cd;HO,2.497184,2.5541523,2.5191529,2.5660815,2.3063686,0.07597203,0.018675452,-0.094395116,-0.036556352,0.078188755
Cd;N3+,4.1944966,4.293328,4.3594084,4.4485373,4.5040927,0.1371266,-0.02412112,0.064061455,0.108228594,0.1237353
Cd;Nam,4.617577,4.6267443,4.6942124,4.754297,4.977469,0.47354963,0.492344,0.6096914,0.5718527,0.5995353
Cd;Nar,4.670748,4.740869,4.742308,4.763067,4.63307,0.11282982,0.34520993,0.39885005,0.41925326,0.39664254
Cd;O2,2.353237,2.5192678,2.815,3.0433333,3.2716668,0.84232694,0.6505032,0.80986553,0.02510965,0.0
Cd;O3,2.9783332,3.3266666,3.675,4.0233335,4.3716664,0.13650376,0.0,0.0,0.0,0.0
Cl;Fe,5.059919,4.7236176,5.0592947,5.0647717,4.685033,1.033223,-0.3118997,0.29928318,-0.029801203,-0.3253267
Cl;HO,2.3986535,3.2563963,3.440827,4.075009,5.1531925,2.1299627,-0.22330198,-0.5113826,0.46654844,-0.2576311
Cl;N2,3.3376212,3.6574085,4.1403427,4.4320107,4.775501,-2.6036947,-1.3780036,0.3800707,-2.4009218,-0.6558193
Cl;N3+,3.687722,3.7963772,4.324406,4.6664953,4.8974066,-0.30157068,-0.51602226,1.234043,1.5503794,-1.5937147
Cl;Nam,3.0990613,3.5361793,3.983864,4.4176493,4.9426923,-0.22159407,-0.4799688,-0.1412074,-0.38008586,-0.2056295
Cl;Nar,3.651257,3.8217437,4.2634764,4.4890685,4.6433053,0.008808333,-1.2438421,0.12568967,0.15243173,1.0373687
Cl;Ng+,2.891652,3.6446526,3.8652961,4.330701,4.818048,-1.5621281,-0.09155191,0.580498,0.4451735,-0.6441142
Cl;Npl,4.1157393,4.2433333,4.41,4.576667,4.7439804,1.2307475,0.25916663,0.0,0.0,0.034847036
Cl;O.co2,3.5365317,3.819136,4.0529876,4.196499,4.8460317,-0.10868016,0.4135735,0.73747194,-0.39721185,0.35553926
Cl;O2,2.637443,3.088748,3.6747558,4.1132755,4.373935,-2.3694706,-0.7429281,-0.038595207,-0.4949591,-0.30278
Cl;O3,2.7546175,3.4651833,3.9469273,4.188186,4.474697,-0.1972604,0.5420162,-0.17552623,0.3260008,-0.38163105
Cl;S3,3.6120515,3.8414648,4.340994,4.2813163,4.913252,0.59373647,-1.6715546,0.51109225,-0.07188956,-0.7438272
Cl;Zn,4.431141,4.433262,4.096179,4.0936937,4.447448,-0.63465095,0.22946604,0.58047616,-0.099309295,-0.6182841
Co;HO,2.125,2.67,3.3761406,3.76,4.305,-0.67914623,0.0,-1.1948578,-0.28220376,0.0
Co;N3+,2.3121927,2.8233333,3.16,3.4966667,3.74759,0.26233333,-0.38998702,0.0,0.0,0.5020575
Co;Nam,3.3266666,3.5233333,3.72,3.9166667,4.078686,-3.194589,0.0,0.0,0.0,-0.06379066
Co;Nar,2.41,2.75,3.09,3.43,3.77,0.30058447,0.0,0.0,0.0,0.0
Co;O2,2.3663588,2.9490044,3.27,3.6236722,4.3090353,0.7485172,0.020722542,0.87127364,0.37750256,0.4069473
Co;O3,2.6033332,3.0666666,3.5619135,3.9933333,4.4566665,-1.2041997,0.0,-0.099180505,-0.36504674,0.0
Co;Pac,2.7387626,2.9757528,2.8855145,3.0201428,3.1176488,0.15110454,-0.17068128,-0.107762575,0.020144125,-0.39308175
Co;S2,4.758223,4.609597,4.7143703,4.78376,4.7826657,0.14680919,0.071757786,0.013989414,0.1478707,0.009234743
Cu;HO,1.5183333,1.9310215,2.1909885,2.3533332,2.8264341,-0.6491554,0.7587273,0.48798007,0.1257581,-0.43454725
Cu;N2,2.0462215,2.0554557,2.2264206,2.2326643,2.2416737,0.04148471,-0.15338868,-0.17102028,-0.19444257,-0.08252505
Cu;N3+,2.690822,2.6478038,2.4589343,2.347639,2.4563386,0.60079044,0.13031216,-0.2319354,-0.12809832,0.033249684
Cu;Nam,4.115711,4.1337304,4.0037007,3.9798534,4.1966743,0.75740975,0.0722633,-0.047414266,0.016583875,0.063779384
Cu;O2,2.2696757,2.9466667,3.44,3.9621902,4.4932437,1.0864921,0.7678671,0.0,-0.5790355,-0.20210935
Cu;O3,2.2915027,2.7933333,3.32,3.8466666,4.3733335,-0.23448403,-0.089890175,-1.3034374,0.0,0.0
F;Fe,4.309142,4.3752866,4.0019,4.370752,3.986628,-2.9083397,-0.21964793,0.3071014,-0.30556133,0.3038524
F;HO,2.3779473,2.7919774,3.3162618,3.8908503,4.644821,-1.117935,-0.103921816,-0.71211165,0.058387265,0.33847648
F;N2,3.2170417,3.4471884,3.854595,4.490016,4.45187,0.3572606,-0.5024293,0.9642744,-0.510143,-0.14702909
