,cut1,cut2,cut3,cut4,cut5,cut6,cut7,w1,w2,w3,w4,w5,w6,w7
Mg;Sac,3.3818626,3.5164099,3.3937352,3.6169276,3.7492378,3.895,3.9138298,0.10510107,-0.6005353,0.013581485,-0.1852882,-0.1207127,-0.045220137,-0.012874709
Mn;N1,2.3966882,2.0913706,2.0933106,2.073586,2.0453956,2.0746183,2.037245,-0.7194477,0.18390766,0.033683695,0.0025893943,-0.011746926,-0.01911042,-0.029338697
Mn;N2,3.15875,3.4920418,3.5018373,3.875,4.091328,4.3879995,4.6657386,0.80707926,-0.513329,-0.38781473,-0.27957013,0.08987045,0.39391795,0.25952196
Mn;N3,3.568114,3.5790052,3.9427114,4.095,4.27875,4.4625,4.64625,3.1338704,-1.3094083,-2.153083,-0.0017642346,0.0,0.0,0.030923938
Mn;N3+,2.83625,3.1125,3.38875,3.63326,3.9745264,4.188187,4.638593,0.2882316,0.0,0.0,0.06382057,0.19795121,1.7933466,0.7544324
Mn;Nam,3.18,3.42,3.66,3.9,4.14,4.38,4.533691,-0.07234964,0.0,0.0,0.0,0.0,0.0,0.008281395
Mn;Nar,2.5325,2.865,3.1188972,3.5607765,3.9395463,4.102216,4.464769,0.06769549,0.0,0.7770833,1.3830495,1.997691,0.10049119,-0.16941372
Mn;Ng+,3.225269,3.6239629,3.6825,3.9,4.1175,4.276301,4.663934,-0.64131117,-0.54227096,-0.47737285,0.0,0.0,-0.09626521,-0.5922561
Mn;Nox,2.5791256,2.5688932,2.7226934,2.8454607,2.8375025,2.8624454,3.2370594,0.79879534,0.20608655,0.16696107,0.62578857,0.07508554,-0.2889797,-0.39148745
Mn;Npl,2.5975,2.7351904,3.0925,3.34,3.5875,3.835,4.083206,2.0776954,1.4971812,1.8309554,0.0,0.0,0.0,-0.13780774
Mn;Ntr,2.7903497,2.8319266,2.8375,2.9,2.9625,2.984843,3.2641997,-0.173218,-0.046056155,-0.12874712,0.0,0.0,-0.07678913,-0.0010298938
Mn;O2,2.2089765,2.4239738,2.99625,3.432908,3.8904588,4.278779,4.5410633,-0.19890144,-0.34217957,-0.1379694,-1.0983282,-0.3565157,0.674776,0.6972781
Mn;O3,2.3716505,2.64,3.02,3.3507075,3.856809,4.0631704,4.6602654,-0.7487258,-0.47718284,0.0,-0.53147036,-0.11580136,0.8274704,0.507651
Mn;P,3.1931486,3.4835045,3.7064543,4.0211716,4.205,4.42,4.635,0.4566277,0.5652103,-0.15251142,0.049011547,0.030821465,0.0,0.0
Mn;Pac,3.114006,3.1921625,3.2617056,3.5000072,3.2735026,3.5192995,3.414286,0.038487315,0.49605435,0.41823658,0.4722968,0.05487083,0.22020076,0.101564415
N1;N2,3.29,3.68576,3.3761039,3.81325,3.998753,4.182687,4.696116,2.4158535,0.2733237,-0.46223927,-0.16657655,0.29366386,0.45913196,0.8889983
N1;N3,3.3203301,3.320907,3.3221774,3.323099,3.3248425,3.324601,3.4383745,-1.4420601,-1.1553622,-0.73252463,-0.49675342,-0.15554169,-0.17628768,-0.3343689
N1;N3+,3.7594383,3.9454596,3.8769255,4.0122337,4.174366,4.2980013,4.301898,1.5199189,1.8526517,-0.0040068533,0.40690246,1.2138293,0.8710564,0.5661829
N1;Nam,2.9035103,3.3671665,3.6071315,3.7547143,4.257649,4.5231733,4.6223254,0.3823218,-0.1911635,-0.98141474,-0.39004236,-0.73965245,-0.6126774,-0.3364663
N1;Nar,3.0851579,3.4024615,3.6525,3.9,4.1475,4.395,5.06331,0.9124209,1.228751,-0.011151795,0.0,0.0,0.0,-1.7797488
N1;Ng+,3.048351,3.2003624,3.611722,3.8847349,4.1217537,4.432791,4.682351,-0.6208884,-0.9691323,-1.8821791,0.634383,-1.1000363,-1.1448675,-0.36577383
N1;O.co2,2.9694958,3.2517426,3.722595,3.95735,4.336372,4.482687,4.6818542,1.5291198,2.1583524,-1.0710248,-0.4328637,-0.25278348,0.7426426,-1.149581
N1;O2,2.9561384,3.0312066,3.5736911,3.9912045,4.1600127,4.481104,4.74862,1.1428807,0.6017546,-0.13311855,0.047314867,-0.1410422,-0.07597013,0.17620772
N1;O3,2.718723,3.3651228,3.5387676,3.7810879,4.108597,4.4377294,4.850208,-0.7811569,-0.94251245,1.3118272,0.52338576,-0.4662627,0.5402124,0.6112399
N1;S3,3.5553622,3.755137,4.055556,4.072914,4.4096584,4.436026,4.751316,-3.800906,0.83453476,1.6020468,0.6501288,-0.6911079,-0.38487262,-1.3160115
N2;N2,3.0811787,3.368404,3.681584,4.0044737,4.1662765,4.309362,4.7491713,-2.9015126,0.021380303,0.83561754,0.00391853,0.94927263,-0.5093062,1.0591582
N2;N3,3.1146173,3.5100179,3.493904,3.8731809,4.173688,4.5531893,5.004035,0.21083626,-0.5422327,-0.89030963,-0.23975503,0.28827456,0.56620777,0.18043771
N2;N3+,2.7588348,3.1323886,3.35249,3.7723815,3.9816885,4.3211856,4.73339,-4.48692,-1.0722836,-2.5482154,0.39203224,1.1290025,0.32985264,0.25678626
N2;Na,3.357582,3.4946024,3.5242531,3.5767262,3.4470665,3.432993,3.4349835,-0.8631552,0.056831397,-0.0074654133,-0.0070651867,-0.04396304,-0.033864208,-0.03850923
N2;Nam,2.8988175,3.09663,3.3896892,3.7029939,4.2856493,4.276856,4.8451934,-1.0121142,0.8148666,-0.33182338,-0.666265,-0.03667992,-0.017724225,0.09634365
N2;Nar,3.094949,3.2225668,3.455909,3.7914257,4.0732226,4.533792,4.8097596,-1.6581525,-1.0944518,-0.068282925,0.4061366,-0.6844283,0.25197467,0.058981705
